unix timestamp,position x,position y,position z,rotation x,rotation y,rotation z,rotation w
1682334174,-1.628121,1.60607,-0.3334286,0.08144932,-0.6975775,-0.02667079,-0.7113652
1682334175,-1.622862,1.603807,-0.3171762,0.08149906,-0.6383973,-0.04603493,-0.7639946
1682334176,-1.632613,1.590277,-0.3850642,0.1391207,-0.8947763,-0.004953101,-0.4242599
1682334177,-1.620892,1.596447,-0.3380605,0.1255575,-0.7900149,-0.03375339,-0.5991432
1682334178,-1.651295,1.599807,-0.3558306,0.1171245,-0.7626753,-0.02030386,-0.6357642
1682334179,-1.613336,1.590453,-0.3370121,0.1462702,-0.7531055,-0.08115442,-0.6362792
1682334180,-1.652851,1.595196,-0.3565727,0.1066676,-0.9638155,0.00721769,-0.2441922
1682334181,-1.62398,1.593836,-0.3637469,0.1293181,-0.8699856,-0.008584484,-0.4757397
1682334182,-1.599867,1.588785,-0.3442899,0.1528699,-0.6708916,-0.07381213,-0.7218636
1682334183,-1.596932,1.576982,-0.2295048,0.1427453,-0.2962384,-0.1489559,-0.9325657
1682334184,-1.572697,1.579126,-0.2889464,0.1779823,-0.5984721,-0.0993184,-0.7747834
1682334185,-1.599407,1.563328,-0.327584,0.2627108,-0.9418905,-0.04165661,-0.205159
1682334186,-1.59573,1.53991,-0.7367253,0.3077243,-0.9337111,-0.002916247,-0.1829782
1682334187,-1.234064,1.538416,-0.931177,0.03376983,0.3389362,0.1283594,-0.9313999
1682334188,-0.9269728,1.567116,-0.923575,0.1970731,-0.7687284,-0.09297311,-0.6013111
1682334189,-0.4583718,1.580073,-0.9451532,0.2128244,-0.836028,-0.0726497,-0.5004849
1682334190,-0.01874326,1.571986,-0.9584583,0.2405815,-0.8108607,-0.09950439,-0.5241417
1682334191,0.3460417,1.59348,-1.093756,0.1992166,-0.8294765,-0.06413761,-0.5178493
1682334192,0.8309932,1.590912,-1.127414,0.01480357,0.6221376,0.06112552,-0.7803778
1682334193,1.153956,1.626734,-1.143829,0.09068982,-0.2340033,-0.1518646,-0.95601
1682334194,1.227384,1.622454,-0.7867454,0.03904138,0.07909685,-0.1433519,-0.9857332
1682334195,1.353764,1.618864,-0.3895009,0.04758448,0.005714446,-0.1278277,-0.9906378
1682334196,1.372877,1.607288,-0.00944376,0.04678091,-0.02463317,-0.1680045,-0.9843675
1682334197,1.372955,1.593181,0.4339851,0.04677556,0.03270453,-0.1914446,-0.9798426
1682334198,1.342636,1.550834,0.9027044,0.8791413,-0.4408675,-0.167312,0.06894328
1682334199,1.222798,1.570741,1.221044,-0.02881113,0.4072389,-0.2277183,-0.8840084
1682334200,0.9715079,1.5724,1.367289,-0.008834967,-0.7155949,0.00520692,-0.6984403
